Rank,Player Name,Club,Position,Minutes Played,Matches Played,Goals,Assists,Distance Covered (km),Top Speed (km/h)
01,Pacho,Paris,Defender,1260,14,2,1,120.8,33.7
02,Vitinha,Paris,Midfielder,1259,14,6,1,150,31.6
03,Vinícius Júnior,Real Madrid,Forward,1170,14,5,8,125,35.1
04,Zaïre-Emery,Paris,Midfielder,1164,14,0,1,140.4,34.1
05,Valverde,Real Madrid,Midfielder,1162,13,3,4,133,35.8
06,Tchouaméni,Real Madrid,Midfielder,1125,13,1,1,139.1,31.9
07,Nuno Mendes,Paris,Defender,1114,14,2,2,104,35.5
08,Sjøvold,Bodø/Glimt,Midfielder,1110,12,1,0,138.3,33.3
08,Berg,Bodø/Glimt,Midfielder,1110,12,0,1,137.6,31.3
08,Bjørtuft,Bodø/Glimt,Defender,1110,12,0,0,120.3,33.1
08,Haikin,Bodø/Glimt,Goalkeeper,1110,12,0,0,65.2,26.4
12,Alvarez,Atleti,Forward,1097,13,9,4,130.9,33.1
13,Simeone,Atleti,Forward,1090,13,2,1,139.1,34.8
14,Uğurcan Çakır,Galatasaray,Goalkeeper,1088,12,0,0,58.9,28.8
15,Van Dijk,Liverpool,Defender,1080,12,2,2,110.2,33.9
16,Grimaldo,Leverkusen,Defender,1079,12,4,3,142.4,32
17,Szoboszlai,Liverpool,Midfielder,1053,12,5,4,131.7,34.5
18,Marquinhos,Paris,Defender,1035,12,2,0,103.3,33.9
19,Arda Güler,Real Madrid,Midfielder,1030,14,2,4,126,32.1
19,Evjen,Bodø/Glimt,Midfielder,1030,12,1,3,134.5,33
21,Ruggeri,Atleti,Defender,1028,13,0,3,126,31.9
22,Sánchez,Galatasaray,Defender,1020,11,1,0,102.6,33.4
22,Rui Silva,Sporting CP,Goalkeeper,1020,11,0,0,62.9,24.6
24,García,Leverkusen,Midfielder,1006,12,2,0,131.9,31.8
25,Pavlović,Bayern München,Midfielder,994,12,1,0,128.9,31.6
26,Torreira,Galatasaray,Midfielder,990,12,0,0,112.2,31.7
26,Quansah,Leverkusen,Defender,990,11,0,0,114,34.8
26,Raya,Arsenal,Goalkeeper,990,11,0,0,69,31.3
29,Hauge,Bodø/Glimt,Forward,988,12,6,2,118.3,34
29,Barış Alper Yılmaz,Galatasaray,Forward,988,12,1,2,102.2,34.8
31,Kimmich,Bayern München,Midfielder,980,11,0,1,123.2,31.5
32,Araújo,Sporting CP,Midfielder,979,11,2,1,111.8,32.8
33,Llorente,Atleti,Midfielder,971,12,4,2,117.7,34.4
34,Abdülkerim Bardakcı,Galatasaray,Defender,967,11,0,0,97.5,32.4
35,Burn,Newcastle,Defender,965,11,1,2,114.1,31.6
36,Tah,Bayern München,Defender,963,12,1,0,104.1,33
37,Gravenberch,Liverpool,Midfielder,961,11,1,2,110.5,34.2
38,Suárez,Sporting CP,Forward,956,12,5,1,98.7,33.5
38,Francisco Trincão,Sporting CP,Forward,956,11,4,4,115.4,32.7
38,Gonçalo Inácio,Sporting CP,Defender,956,11,1,0,103.9,32.7
41,Tonali,Newcastle,Midfielder,955,11,1,1,125.3,34.4
42,Courtois,Real Madrid,Goalkeeper,945,11,0,2,55,26.3
43,Hakimi,Paris,Defender,944,11,1,5,109,37
44,Hancko,Atleti,Defender,932,11,2,1,103.8,33
45,Thiaw,Newcastle,Defender,928,11,1,0,104.5,33.4
46,Høgh,Bodø/Glimt,Forward,922,12,5,3,103.6,32.6
47,Fresneda,Sporting CP,Defender,920,10,0,1,126.5,33.1
48,Kalulu,Juventus,Defender,919,10,0,3,95.9,34.3
49,Mbappé,Real Madrid,Forward,912,11,15,1,85.9,36.2
49,Bjørkan,Bodø/Glimt,Defender,912,10,0,2,121.9,32.9
51,Hjulmand,Sporting CP,Midfielder,910,10,0,0,112,31.4
52,Barcola,Paris,Forward,907,13,2,4,93.4,36.7
53,Sallai,Galatasaray,Forward,901,12,0,1,106.8,32.9
53,Olise,Bayern München,Midfielder,901,11,4,8,102,33.9
55,Vanaken,Club Brugge,Midfielder,900,10,2,3,120.2,33.2
55,Trubin,Benfica,Goalkeeper,900,10,1,0,47.1,24.9
55,Oblak,Atleti,Goalkeeper,900,10,0,1,55.7,24.1
55,Otamendi,Benfica,Defender,900,10,0,0,98.8,31
55,Sommer,Inter,Goalkeeper,900,10,0,0,54.8,25.4
